duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 5m 16sec.,316.0,2012-01-01 00:33:00,7th & T St NW,31109.0,2012-01-01 00:39:00,Convention Center / 7th & M St NW,31223.0,W00663,Registered,18
0h 8m 26sec.,506.0,2012-01-01 00:34:00,14th & Rhode Island Ave NW,31203.0,2012-01-01 00:42:00,14th & V St NW,31101.0,W01052,Registered,19
0h 15m 56sec.,956.0,2012-01-01 00:36:00,17th & Corcoran St NW,31214.0,2012-01-01 00:52:00,17th & Corcoran St NW,31214.0,W00174,Registered,20
0h 4m 4sec.,244.0,2012-01-01 00:37:00,17th & Corcoran St NW,31214.0,2012-01-01 00:41:00,Massachusetts Ave & Dupont Circle NW,31200.0,W01298,Registered,21
0h 5m 19sec.,319.0,2012-01-01 00:39:00,McPherson Square - 14th & H St NW,31216.0,2012-01-01 00:44:00,8th & H St NW,31228.0,W01333,Registered,22
0h 2m 37sec.,157.0,2012-01-01 00:39:00,Potomac & Pennsylvania Ave SE,31606.0,2012-01-01 00:42:00,Potomac & Pennsylvania Ave SE,31606.0,W00697,Registered,23
0h 8m 31sec.,511.0,2012-01-01 00:41:00,4th & E St SW,31244.0,2012-01-01 00:49:00,5th & F St NW,31620.0,W00260,Registered,24
0h 3m 19sec.,199.0,2012-01-01 00:45:00,18th & M St NW,31221.0,2012-01-01 00:48:00,19th St & Pennsylvania Ave NW,31100.0,W00658,Registered,25
0h 8m 19sec.,499.0,2012-01-01 00:45:00,15th & P St NW,31201.0,2012-01-01 00:54:00,16th & U St NW,31229.0,W00996,Registered,26
0h 7m 40sec.,460.0,2012-01-01 00:46:00,15th & P St NW,31201.0,2012-01-01 00:53:00,16th & U St NW,31229.0,W00790,Registered,27
0h 15m 31sec.,931.0,2012-01-01 00:48:00,Massachusetts Ave & Dupont Circle NW,31200.0,2012-01-01 01:04:00,4th St & Massachusetts Ave NW,31604.0,W01213,Registered,28
0h 6m 38sec.,398.0,2012-01-01 00:49:00,Park Rd & Holmead Pl NW,31602.0,2012-01-01 00:55:00,Columbia Rd & Belmont St NW,31113.0,W00981,Registered,29
0h 9m 18sec.,558.0,2012-01-01 00:49:00,17th & Corcoran St NW,31214.0,2012-01-01 00:59:00,16th & Harvard St NW,31103.0,W01270,Registered,30
0h 10m 6sec.,606.0,2012-01-01 00:49:00,17th & Corcoran St NW,31214.0,2012-01-01 01:00:00,16th & Harvard St NW,31103.0,W01465,Registered,31
0h 2m 24sec.,144.0,2012-01-01 00:50:00,19th St & Pennsylvania Ave NW,31100.0,2012-01-01 00:53:00,21st & I St NW,31205.0,W00658,Registered,32
0h 14m 46sec.,886.0,2012-01-01 00:52:00,Adams Mill & Columbia Rd NW,31104.0,2012-01-01 01:07:00,C & O Canal & Wisconsin Ave NW,31225.0,W00936,Casual,33
0h 4m 1sec.,241.0,2012-01-01 00:53:00,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613.0,2012-01-01 00:57:00,14th & D St SE,31607.0,W00007,Registered,34
0h 7m 48sec.,468.0,2012-01-01 00:53:00,Potomac & Pennsylvania Ave SE,31606.0,2012-01-01 01:01:00,13th & D St NE,31622.0,W00880,Registered,35
0h 7m 40sec.,460.0,2012-01-01 00:54:00,Potomac & Pennsylvania Ave SE,31606.0,2012-01-01 01:01:00,13th & D St NE,31622.0,W00232,Registered,36
0h 7m 18sec.,438.0,2012-01-01 00:54:00,Potomac & Pennsylvania Ave SE,31606.0,2012-01-01 01:01:00,13th & D St NE,31622.0,W00539,Registered,37
